lambda [*] :=
 161 1.07683e-10    411 1.96193e-10    661 5.32904e-11    911 1.21503e-10
 162 3.58276e-11    412 1              662 1              912 3.48532e-11
 163 2.96182e-11    413 1              663 1.01512e-10    913 4.73499e-11
 164 5.39874e-11    414 1              664 2.25834e-11    914 1
 165 8.80371e-11    415 3.49944e-11    665 7.92828e-11    915 5.91266e-11
 166 1              416 1              666 1              916 3.47185e-11
 167 5.52878e-11    417 1              667 2.40495e-10    917 1
 168 4.16756e-11    418 1              668 1              918 3.21574e-11
 169 3.72245e-11    419 3.66447e-11    669 4.15608e-11    919 3.12646e-11
 170 1              420 1              670 3.53088e-09    920 4.62552e-10
 171 8.81683e-11    421 1              671 1.86726e-10    921 9.14425e-11
 172 3.09114e-11    422 3.60803e-11    672 1.00499e-10    922 1
 173 1.73752e-10    423 1.52751e-10    673 1.53185e-10    923 6.50665e-11
 174 9.8515e-11     424 1              674 1              924 6.09702e-11
 175 1              425 9.38015e-11    675 5.46294e-11    925 3.27233e-11
 176 6.06566e-11    426 5.78238e-11    676 1              926 1
 177 1.26806e-10    427 1              677 1              927 9.45031e-11
 178 3.99981e-11    428 1              678 1              928 1
 179 1.17396e-10    429 1              679 0.627116       929 1
 180 1              430 1              680 1.84037e-10    930 3.20894e-11
 181 8.0131e-11     431 7.22595e-11    681 0.307612       931 5.1889e-10
 182 4.93188e-10    432 1              682 2.29099e-10    932 1
 183 7.31164e-11    433 1              683 5.38767e-11    933 9.85532e-11
 184 4.61218e-11    434 1              684 1.02095e-10    934 1.33975e-10
 185 1              435 7.06845e-11    685 1              935 1
 186 1              436 3.36588e-11    686 1.65533e-10    936 5.20243e-11
 187 6.15362e-11    437 5.03353e-11    687 6.65707e-11    937 5.49014e-11
 188 5.78952e-11    438 9.66503e-11    688 5.16565e-11    938 5.76073e-11
 189 3.00921e-11    439 1.04016e-10    689 1              939 1
 190 8.70839e-11    440 7.48068e-11    690 8.26355e-11    940 9.32598e-11
 191 2.6702e-10     441 1              691 1              941 1
 192 1              442 3.55326e-11    692 1              942 1.22244e-10
 193 0.933932       443 4.35509e-11    693 7.43873e-11    943 1
 194 3.94078e-10    444 1              694 6.00261e-11    944 1
 195 9.50593e-11    445 7.67609e-11    695 4.50881e-11    945 1.29302e-09
 196 8.56849e-10    446 1              696 4.31814e-11    946 3.62148e-11
 197 1.36565e-09    447 3.08582e-11    697 1              947 5.58129e-11
 198 1              448 7.4863e-11     698 4.46281e-11    948 2.89389e-10
 199 1              449 1              699 1              949 2.83079e-11
 200 1              450 4.12088e-11    700 1.39268e-10    950 1
 201 1.55251e-10    451 2.66301e-09    701 1.38996e-10    951 2.27759e-10
 202 6.7749e-11     452 1              702 5.91001e-11    952 3.06737e-11
 203 7.86227e-11    453 3.57232e-11    703 1.62887e-10    953 9.86073e-11
 204 4.77498e-11    454 1              704 1.0403e-10     954 5.56172e-11
 205 1.05498e-10    455 4.067e-11      705 5.98187e-11    955 8.24739e-10
 206 1              456 1.57587e-10    706 3.50181e-10    956 6.99256e-11
 207 1.08364e-10    457 2.98792e-11    707 7.33141e-10    957 1
 208 1.26001e-10    458 3.78886e-11    708 5.21805e-11    958 8.2489e-11
 209 1              459 1              709 3.58962e-11    959 1
 210 1.44917e-09    460 4.11523e-11    710 1              960 3.66943e-11
 211 6.61315e-11    461 4.35658e-11    711 1              961 4.18874e-11
 212 8.72478e-11    462 1              712 1              962 5.44545e-11
 213 7.01516e-11    463 1              713 7.88683e-11    963 7.31301e-11
 214 1.33129e-10    464 3.46225e-11    714 2.6245e-10     964 1.01448e-10
 215 3.20509e-11    465 1              715 8.515e-11      965 3.48586e-11
 216 3.93901e-11    466 1              716 1              966 1.0067e-10
 217 3.4836e-11     467 1              717 5.73937e-11    967 1
 218 5.1356e-11     468 5.32152e-11    718 8.64636e-11    968 3.33058e-11
 219 1              469 1              719 5.12358e-11    969 1.47242e-10
 220 1              470 2.88273e-10    720 7.16157e-11    970 1
 221 4.42771e-11    471 5.174e-11      721 4.76021e-11    971 1.1929e-10
 222 1.12995e-10    472 9.30373e-11    722 5.1738e-11     972 1.37282e-10
 223 2.21881e-11    473 1.10355e-10    723 3.96644e-10    973 4.13176e-11
 224 3.68001e-10    474 1              724 1              974 5.91094e-11
 225 8.45726e-11    475 1              725 1.94866e-10    975 3.35633e-11
 226 2.56623e-11    476 1              726 1.88373e-10    976 1
 227 1              477 9.18812e-11    727 1              977 8.83461e-11
 228 9.60855e-11    478 1.30539e-10    728 4.19212e-11    978 1
 229 1              479 1              729 1              979 1.29136e-10
 230 1.00813e-10    480 3.62517e-11    730 7.01921e-11    980 1.11995e-10
 231 8.1664e-11     481 7.4244e-11     731 1              981 1
 232 1              482 1              732 4.3921e-10     982 7.86618e-11
 233 2.40337e-11    483 7.75896e-11    733 2.79137e-11    983 9.24638e-11
 234 1              484 1              734 3.41143e-10    984 1.58462e-09
 235 1.32325e-10    485 8.09876e-11    735 5.24289e-11    985 3.15505e-11
 236 1              486 3.82648e-11    736 1.79235e-10    986 1
 237 4.38194e-11    487 1              737 1              987 1.09015e-10
 238 3.18196e-11    488 4.29828e-11    738 6.15136e-11    988 5.98163e-11
 239 2.0724e-10     489 9.83856e-11    739 6.38739e-11    989 1
 240 1.9666e-10     490 1              740 1              990 1
 241 8.21351e-11    491 1              741 1              991 2.35556e-10
 242 1.67067e-10    492 4.21305e-11    742 4.84165e-11    992 1
 243 1              493 4.705e-10      743 7.3053e-11     993 1
 244 8.61145e-11    494 1.45368e-10    744 1              994 4.3292e-11
 245 1              495 2.45983e-10    745 2.52364e-10    995 4.08448e-11
 246 1              496 1              746 1              996 1
 247 1              497 5.55937e-11    747 1              997 2.26188e-10
 248 2.92039e-11    498 1              748 1              998 5.54544e-11
 249 3.9616e-11     499 1              749 1              999 3.61421e-11
 250 3.35338e-11    500 1              750 1             1000 5.19e-11
;

